City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,tucurui,-3.7661,-49.6725,28.66,71,100,1.38,BR,2023-04-01 15:42:01
210,mazagao,-0.115,-51.2894,29.03,76,85,1.99,BR,2023-04-01 15:48:50
211,bajil,15.0584,43.2851,28.55,64,85,4.35,YE,2023-04-01 15:48:50
212,whitehorse,60.7161,-135.0538,-2.33,81,75,1.03,CA,2023-04-01 15:47:38
213,paita,-5.0892,-81.1144,28.32,68,89,1.82,PE,2023-04-01 15:48:50
214,pangnirtung,66.1451,-65.7125,-13.0,52,75,2.06,CA,2023-04-01 15:48:51
215,chokurdakh,70.6333,147.9167,-31.74,100,95,2.94,RU,2023-04-01 15:48:51
216,vidim,56.4088,103.1106,-17.03,98,80,1.07,RU,2023-04-01 15:48:51
217,ugoofaaru,5.6667,73.0,28.05,72,36,4.11,MV,2023-04-01 15:48:51
218,letterkenny,54.95,-7.7333,9.96,90,100,5.61,IE,2023-04-01 15:48:51
219,tabas,33.5959,56.9244,26.12,17,76,2.06,IR,2023-04-01 15:48:52
220,rudnichnyy,59.617,52.4703,2.38,86,94,5.23,RU,2023-04-01 15:48:52
221,bonthe,7.5264,-12.505,30.24,62,68,6.31,SL,2023-04-01 15:48:52
222,grindavik,63.8424,-22.4338,6.26,81,75,13.38,IS,2023-04-01 15:48:52
223,yulara,-25.2406,130.9889,17.82,70,100,4.09,AU,2023-04-01 15:48:52
224,floro,61.5996,5.0328,9.04,46,22,3.09,NO,2023-04-01 15:48:53
225,podyuga,61.095,40.8647,-0.48,95,100,0.28,RU,2023-04-01 15:48:53
226,beringovskiy,63.05,179.3167,-8.13,75,67,8.96,RU,2023-04-01 15:48:53
227,trincomalee,8.5711,81.2335,27.18,81,1,3.99,LK,2023-04-01 15:48:53
228,hohhot,40.8106,111.6522,16.16,41,20,5.0,CN,2023-04-01 15:48:53
229,naze,28.3667,129.4833,18.51,87,54,2.96,JP,2023-04-01 15:48:53
230,mount gambier,-37.8333,140.7667,8.66,84,17,0.77,AU,2023-04-01 15:48:54
231,katsuura,35.1333,140.3,15.2,74,100,5.33,JP,2023-04-01 15:48:54
232,college,64.8569,-147.8028,-11.82,73,100,2.06,US,2023-04-01 15:45:10
233,puerto ayacucho,5.6639,-67.6236,25.44,80,100,3.09,VE,2023-04-01 15:48:54
234,tiksi,71.6872,128.8694,-18.44,83,49,9.07,RU,2023-04-01 15:48:54
